firstAuthor,accessionId,reportedTrait,Samplesize,summaryStatistics
Chen Y,GCST90199621,Carnitine levels,8192,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199621/GCST90199621_buildGRCh38.tsv.gz
Chen Y,GCST90199622,Benzoate levels,7306,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199622/GCST90199622_buildGRCh38.tsv.gz
Chen Y,GCST90199623,Maltotriose levels,4641,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199623/GCST90199623_buildGRCh38.tsv.gz
Chen Y,GCST90199624,Hippurate levels,8260,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199624/GCST90199624_buildGRCh38.tsv.gz
Chen Y,GCST90199625,Methionine sulfoxide levels,8243,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199625/GCST90199625_buildGRCh38.tsv.gz
Chen Y,GCST90199626,Xanthurenate levels,7965,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199626/GCST90199626_buildGRCh38.tsv.gz
Chen Y,GCST90199627,N-alpha-acetylornithine levels,5606,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199627/GCST90199627_buildGRCh38.tsv.gz
Chen Y,GCST90199628,3-methylhistidine levels,8289,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199628/GCST90199628_buildGRCh38.tsv.gz
Chen Y,GCST90199629,Glycerophosphorylcholine (GPC) levels,8212,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199629/GCST90199629_buildGRCh38.tsv.gz
Chen Y,GCST90199630,Phenylacetate levels,7059,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199630/GCST90199630_buildGRCh38.tsv.gz
Chen Y,GCST90199631,3-methyl-2-oxovalerate levels,8257,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199631/GCST90199631_buildGRCh38.tsv.gz
Chen Y,GCST90199632,Tartarate levels,7099,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199632/GCST90199632_buildGRCh38.tsv.gz
Chen Y,GCST90199633,Suberate (C8-DC) levels,6902,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199633/GCST90199633_buildGRCh38.tsv.gz
Chen Y,GCST90199634,5-hydroxylysine levels,8128,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199634/GCST90199634_buildGRCh38.tsv.gz
Chen Y,GCST90199635,3-phenylpropionate hydrocinnamate levels,7925,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199635/GCST90199635_buildGRCh38.tsv.gz
Chen Y,GCST90199636,Kynurenine levels,8244,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199636/GCST90199636_buildGRCh38.tsv.gz
Chen Y,GCST90199637,N-acetylglutamate levels,7802,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199637/GCST90199637_buildGRCh38.tsv.gz
Chen Y,GCST90199638,Glycerol 3-phosphate levels,8201,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199638/GCST90199638_buildGRCh38.tsv.gz
Chen Y,GCST90199639,Imidazole lactate levels,8256,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199639/GCST90199639_buildGRCh38.tsv.gz
Chen Y,GCST90199640,4-guanidinobutanoate levels,8144,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199640/GCST90199640_buildGRCh38.tsv.gz
