Blood metabolites	IVW_OR	MR_Egger_OR	Weighted_median_OR	IVW_P
Butyrylglycine levels	1.06771757	1.069815769	1.053394584	0.037189719
Isovalerylcarnitine (C5) levels	1.102789299	1.351831708	1.152321506	0.034023007
1-arachidonylglycerol (20:4) levels	1.159054564	1.311924703	1.210076839	0.000779922
1-arachidonoyl-gpc (20:4n6) levels	1.133800373	1.212200307	1.166105216	9.59E-05
2-palmitoyl-GPC (16:0) levels	1.161819179	1.210160672	1.096064532	0.033306513
2-palmitoleoyl-GPC (16:1) levels	0.877331248	1.204277267	0.868477351	0.009480342
1-palmitoyl-GPE (16:0) levels	0.90827501	0.737436482	0.858473734	0.0458915
"3,4-dihydroxybutyrate levels"	0.904287738	0.818165033	0.896859949	0.041704771
Indoleacetylglutamine levels	1.097681395	1.168035351	1.154370541	0.029470165
Tryptophan betaine levels	0.932306924	0.959837527	0.967275108	0.042197874
1-oleoyl-GPI (18:1) levels	0.892397426	0.960202203	0.899591192	0.034116612
1-stearoyl-2-oleoyl-GPE (18:0/18:1) levels	0.858806175	0.900631209	0.838430776	0.000772114
Pregnenediol disulfate (C21H34O8S2) levels	1.079596075	1.058497654	1.062413892	0.030397512
"Sphingomyelin (d18:1/24:1, d18:2/24:0) levels"	0.863564359	0.903986008	0.88178633	0.024158371
Umbelliferone sulfate levels	1.115092119	1.07648009	1.099781746	0.003001711
P-cresol glucuronide levels	1.17251841	1.43615269	1.134536741	0.027199358
Tricosanoyl sphingomyelin (d18:1/23:0) levels	0.837219734	0.813824214	0.901984976	0.003097013
1-palmitoyl-2-dihomo-linolenoyl-GPC (16:0/20:3n3 or 6) levels	0.819798385	0.716826099	0.787468937	5.19E-07
1-palmitoyl-2-docosahexaenoyl-GPE (16:0/22:6) levels	0.926388905	0.899956228	0.909917954	0.045193399
1-myristoyl-2-arachidonoyl-GPC (14:0/20:4) levels	1.155931842	1.32683836	1.263940653	6.67E-05
Oleoylcholine levels	0.889400272	1.003099026	0.832361107	0.044690744
1-linoleoyl-2-linolenoyl-GPC (18:2/18:3) levels	0.943139323	0.951383548	0.956730376	0.018378295
Perfluorooctanesulfonate (PFOS) levels	1.134487711	1.170475913	1.104742544	0.013294233
"Ceramide (d18:1/17:0, d17:1/18:0) levels"	1.107884084	1.087266158	1.063069134	0.033901869
2-furoylcarnitine levels	1.129354007	1.210416386	1.070075947	0.03893878
Dodecenedioate (C12:1-DC) levels	1.14711694	1.140992714	1.087146442	0.008601242
Glutamine conjugate of C6H10O2 (1) levels	1.1783596	1.072673724	1.209347656	0.036744371
Delta-CEHC levels	0.901425275	0.931554579	0.94195638	0.033936887
3-hydroxypyridine glucuronide levels	1.143660132	1.018830835	1.129165362	0.005931343
4-methylhexanoylglutamine levels	1.12624049	1.007801598	1.084142584	0.013769608
Metabolonic lactone sulfate levels	0.950531167	0.918861592	0.919782884	0.02932833
"Bilirubin degradation product, C16H18N2O5 (4) levels"	1.07297089	1.0637083	1.058552497	0.014805411
"Bilirubin degradation product, C16H18N2O5 (3) levels"	1.078457466	1.06810789	1.05401302	0.004226987
"Bilirubin degradation product, C16H18N2O5 (2) levels"	1.063885772	1.044851908	1.05063654	0.031221067
"Bilirubin degradation product, C16H18N2O5 (1) levels"	1.064318164	1.087344004	1.050997438	0.023189655
Glycerate levels	1.119035913	1.099841949	1.028328864	0.020341769
N-acetylneuraminate levels	1.143193042	1.141092042	1.096679616	0.0205662
Homovanillate (hva) levels	0.875440883	0.968280398	0.856412655	0.030216618
"9,10-DiHOME levels"	0.906590248	0.962147936	0.942274682	0.047096748
Histidine levels	0.923636088	0.889360664	0.907909037	0.034119809
Glycocholate levels	0.89936442	0.908494556	0.933071444	0.004897151
Leucine levels	0.830324244	1.006043356	0.852744541	0.020555583
Urea levels	1.048152389	1.030381683	1.034734071	0.048394158
Serotonin levels	1.145148009	1.092541221	1.148299763	0.013105692
Pseudouridine levels	1.150309195	1.308735656	1.181433357	0.024188128
X-12410 levels	1.087227643	1.190605707	1.126381216	0.045410847
X-12104 levels	1.172159929	1.117365605	1.155972974	0.035694129
X-13507 levels	1.120702924	1.168017272	1.075932873	0.047603802
X-17357 levels	1.181760441	1.244106214	1.265826497	0.007851319
X-18922 levels	0.919172204	0.96352156	0.922418536	0.028142231
X-24812 levels	0.898235801	0.929667788	0.947107767	0.010334431
X-26109 levels	0.94419955	0.924748674	0.918116395	0.028030333
N-acetyl-L-glutamine levels	1.055107139	1.05436693	1.050367157	0.036473817
N-acetylasparagine levels	1.057018162	1.026473326	1.043958816	0.018638285
1-stearoyl-2-arachidonoyl-gpc (18:0/20:4) levels	1.085997639	1.081941832	1.150350082	0.000386965
"Bilirubin (E,Z or Z,E) levels"	1.056227424	1.037649009	1.049655516	0.04146056
1-palmitoyl-2-arachidonoyl-gpc (16:0/20:4n6) levels	1.097808264	1.130362567	1.149921605	0.001484861
N-acetylputrescine to (N(1) + N(8))-acetylspermidine ratio	1.059614459	1.082381216	1.0754265	0.044876127
Arachidonate (20:4n6) to oleate to vaccenate (18:1) ratio	1.189817499	1.201816759	1.222305043	4.17E-06
Arachidonate (20:4n6) to pyruvate ratio	1.219070748	1.768387878	1.341705671	0.00452802
Glycine to pyridoxal ratio	1.153096912	1.001145581	1.148027404	0.033111236
Phosphate to phosphoethanolamine ratio	0.800872346	1.048909584	0.786333102	0.006454678
Phosphate to fructose ratio	1.136043957	1.153921744	1.138620673	0.03026661
Oleoyl-linoleoyl-glycerol (18:1 to 18:2) [2]/linoleoyl-arachidonoyl-glycerol (18:2 to 20:4) [1]	0.907050785	0.898772856	0.856971882	0.004105488
Alpha-ketoglutarate to aspartate ratio	0.888662747	0.899282138	0.908306099	0.00520334
3-hydroxyisobutyrate to phosphate ratio	0.893142241	0.804693746	0.880214133	0.045911038
3-phosphoglycerate to glycerate ratio	0.872172591	0.837417429	0.893998173	0.03644017
Glycerol to glycerol 3-phosphate ratio	1.139174434	0.943317451	1.128237168	0.039822664
Adenosine 5'-monophosphate (AMP) to citrate ratio	1.162596679	1.069535641	1.125194316	0.020004658
Adenosine 5'-monophosphate (AMP) to cysteine ratio	1.078573964	1.036030286	1.059404345	0.015992674
Phenylpyruvate to 4-hydroxyphenylpyruvate ratio	1.119221062	1.107627762	1.04952539	0.025400431
Salicylate to caprylate (8:0) ratio	0.898729607	0.920333597	0.946246647	0.027572348
Retinol (Vitamin A) to linoleoyl-arachidonoyl-glycerol (18:2 to 20:4) [2] ratio	0.861339185	0.805440212	0.775458032	0.00048725
Alpha-ketobutyrate to pyruvate ratio	1.139620956	1.020462736	1.010406551	0.035037971
Glycerophosphorylcholine (GPC) levels	1.188134875	1.039488951	1.143908678	0.006112638
Kynurenine levels	1.183062984	1.24688418	1.241482886	9.98E-07
Quinate levels	0.857510561	0.599206677	0.766490825	0.029115549
Paraxanthine levels in elite athletes	0.859406575	0.891023696	0.881062909	0.002224262
Palmitoylcarnitine levels (Metabolon platform)	1.114890612	1.232516674	1.097489913	0.006337892
