Blood metabolites	IVW_OR	MR_Egger_OR	Weighted_median_OR	IVW_P
Tartarate levels	0.893611245	0.779430833	0.840128842	0.028200823
1-stearoyl-2-arachidonoyl-GPI (18:0/20:4) levels	1.094010365	1.192099541	1.150315195	0.032364728
DHEAS levels	0.899923292	0.958760732	0.905649722	0.006403264
"2,3-dihydroxypyridine levels"	0.899037424	0.818422821	0.927969667	0.029290196
5-hydroxyhexanoate levels	1.0919009	1.03992179	1.114663365	0.03028545
Docosatrienoate (22:3n3) levels	1.066955135	1.042804673	1.056231636	0.048620461
Stearidonate (18:4n3) levels	1.100810899	1.03380431	1.107064602	0.03677901
10-nonadecenoate (19:1n9) levels	1.138969444	1.420638288	1.162867324	0.035647443
"1,3,7-trimethylurate levels"	1.122254612	1.116872996	1.095236315	0.001137431
N1-methylinosine levels	0.896463135	0.969518983	0.862706398	0.021876083
"5,6-dihydrouridine levels"	0.905575527	1.036645228	0.960056466	0.032745823
1-stearoyl-GPG (18:0) levels	0.898585909	0.855971996	0.891069701	0.001763105
1-arachidonoyl-gpc (20:4n6) levels	1.067481257	1.087196334	1.08543989	0.005538097
2-palmitoleoyl-GPC (16:1) levels	0.91114061	1.132685845	0.900295372	0.017029967
Glutarylcarnitine (c5-dc) levels	0.944273453	0.914925426	0.932955499	0.037572221
Hexadecanedioate (C16-DC) levels	0.947878542	0.94393409	0.945667412	0.046809661
Dimethylarginine (sdma + adma) levels	0.896864851	0.908547762	0.906002551	0.033198629
"5alpha-androstan-3beta,17beta-diol disulfate levels"	0.918036245	0.919017962	0.934804853	0.030948706
N-methylproline levels	0.893571537	0.89951106	0.873649861	0.021033242
"Androstenediol (3beta,17beta) disulfate (1) levels"	0.904353512	0.978354631	0.937791431	0.001934922
1-palmitoyl-2-linoleoyl-GPE (16:0/18:2) levels	0.918833239	0.903739565	0.908697212	0.000438559
"Androstenediol (3beta,17beta) monosulfate (1) levels"	0.885772388	0.882562722	0.908938026	0.005970672
Cis-4-decenoate (10:1n6) levels	0.94493057	0.932794213	0.935356281	0.044509136
1-(1-enyl-palmitoyl)-GPC (p-16:0) levels	1.114385622	1.061379259	1.038825141	0.004118159
2-piperidinone levels	0.912575662	0.941818919	0.925201336	0.034325035
Octadecanedioylcarnitine (C18-DC) levels	0.936357571	0.952201441	0.943074666	0.011459206
3beta-hydroxy-5-cholestenoate levels	0.926966763	0.936110242	0.938791151	0.044507806
Glycodeoxycholate 3-sulfate levels	0.955320207	0.947690879	0.941900235	0.028592297
1-stearoyl-2-linoleoyl-GPE (18:0/18:2) levels	0.924143601	0.860554681	0.903739003	0.005948731
1-palmitoyl-2-dihomo-linolenoyl-GPC (16:0/20:3n3 or 6) levels	0.919575388	0.847985197	0.877675337	0.00878157
1-(1-enyl-palmitoyl)-2-arachidonoyl-gpc (p-16:0/20:4) levels	1.06073425	1.022076971	1.092510801	0.04709765
1-(1-enyl-stearoyl)-2-arachidonoyl-GPE (p-18:0/20:4) levels	1.105680871	1.100063792	1.150239228	0.014093291
1-stearoyl-2-linoleoyl-GPI (18:0/18:2) levels	0.93674333	0.842478787	0.915504341	0.045840643
"1,2-dilinoleoyl-GPE (18:2/18:2) levels"	0.917173788	0.85816171	0.919674155	0.012093473
1-linoleoyl-2-arachidonoyl-GPC (18:2/20:4n6) levels	1.107271392	1.113559559	1.153161681	0.000177464
1-(1-enyl-palmitoyl)-2-linoleoyl-GPE (p-16:0/18:2) levels	0.918117025	0.825638919	0.88933942	0.033117938
1-myristoyl-2-arachidonoyl-GPC (14:0/20:4) levels	1.114482577	1.139956932	1.144326305	0.000224537
1-oleoyl-2-linoleoyl-GPE (18:1/18:2) levels	0.913512071	0.872347185	0.891343791	9.31E-05
Gamma-glutamyl-alpha-lysine levels	0.943084106	0.968674552	0.968814242	0.037781184
Sphingomyelin (d18:2/24:2) levels	1.141481289	1.13941838	1.165446272	0.004707566
Arachidoylcarnitine (C20) levels	1.095323992	1.059223658	1.081543622	0.00285025
3-hydroxypyridine glucuronide levels	1.09953334	1.180302062	1.085020635	0.016160989
4-allylcatechol sulfate levels	0.914088398	0.946883032	0.878559439	0.042558715
5-hydroxy-2-methylpyridine sulfate levels	1.119679365	1.033969091	1.125206332	0.017288475
Tetradecadienedioate (C14:2-DC) levels	0.937506213	0.987902197	0.996232917	0.022034612
Hydroxypalmitoyl sphingomyelin (d18:1/16:0(OH)) levels	0.901843908	0.839415283	0.841297619	0.001360309
Deoxycholic acid 12-sulfate levels	0.937972192	0.953131158	0.951792806	0.001365504
Picolinate levels	1.105990887	1.077722491	1.118532461	0.0064445
N-acetylneuraminate levels	1.11297235	1.052218869	1.135429278	0.010412017
Choline levels	0.878785228	0.761981255	0.88919228	0.009343968
Taurocholic acid levels	1.108810977	1.070729321	1.090543973	0.033428828
Methylsuccinate levels	1.104434234	1.109144012	1.137595274	0.023059517
Adenosine 5'-monophosphate (AMP) levels	0.892402703	1.010680735	0.925074175	0.047797375
Arachidonate (20:4n6) levels	1.10837457	1.239405236	1.148385788	0.005744908
Glycocholate levels	0.931806232	0.953795936	0.925839421	0.020348789
Phosphate levels (UKB data field 30810)	0.901264141	0.854763574	0.908695009	0.003166329
Serotonin levels	1.083207465	1.165499517	1.113507673	0.049161667
X-12283 levels	1.098140264	1.215015799	1.126404819	0.006212217
X-11880 levels	0.863963301	0.78093755	0.817640257	0.024921469
X-12816 levels	0.944511266	0.998766743	0.963203354	0.041997771
X-13553 levels	0.890865117	0.857241997	0.873002433	0.011286614
X-16580 levels	0.891628671	0.756075588	0.865430279	0.021013772
X-18921 levels	0.923157483	0.924682922	0.913936413	0.031668139
X-21339 levels	1.170342677	1.253644771	1.183593406	0.008403024
X-21383 levels	0.95101488	0.940701634	0.932837374	0.036693255
X-25519 levels	1.121157299	0.997668564	1.093093892	0.014370013
X-26109 levels	0.953496731	0.95096845	0.951237243	0.016540883
1-stearoyl-2-arachidonoyl-gpc (18:0/20:4) levels	1.044628762	1.047880002	1.080386724	0.008076686
1-palmitoyl-2-arachidonoyl-gpc (16:0/20:4n6) levels	1.06132862	1.077186505	1.077841813	0.002196391
Adenosine 5'-monophosphate (AMP) to palmitate (16:0) ratio	1.181571409	0.993874002	1.166502708	0.002399253
Methionine to methionine sulfoxide ratio	1.114124318	1.295045219	1.120344701	0.011926689
Oleoyl-linoleoyl-glycerol (18:1 to 18:2) [2]/linoleoyl-arachidonoyl-glycerol (18:2 to 20:4) [1]	0.941519943	0.943500921	0.914368886	0.004517206
Oleoyl-linoleoyl-glycerol (18:1 to 18:2) [2]/linoleoyl-arachidonoyl-glycerol (18:2 to 20:4) [2]	0.94559224	0.936026728	0.910427186	0.036094687
Cysteinylglycine to taurine ratio	0.915629881	0.996864254	0.923030501	0.010410772
Phosphate to linoleoyl-arachidonoyl-glycerol (18:2 to 20:4) [1] ratio	0.926588199	0.910001861	0.869467827	0.023969695
Adenosine 5'-monophosphate (AMP) to EDTA ratio	0.887324107	0.785386965	0.847016991	0.049133538
5-hydroxylysine levels	1.142298508	1.047736815	1.067421615	0.001963493
Ribitol levels	1.090313671	0.918415622	1.0374597	0.034439937
Glycodeoxycholate levels	0.92403884	0.894075519	0.853764317	0.035949527
3-indoxyl sulfate levels	1.246874044	1.040447845	1.284575499	0.000225384
Hexanoylcarnitine levels (Biocrates platform)	1.125968578	0.969914215	1.115660909	0.011330252
