Blood metabolites	IVW_OR	MR_Egger_OR	Weighted_median_OR	IVW_P
1-myristoyl-2-arachidonoyl-GPC (14:0/20:4) levels	1.140722631	1.226518638	1.202657091	4.82E-08
1-arachidonoyl-gpc (20:4n6) levels	1.096130109	1.130742223	1.123864745	2.49E-07
Kynurenine levels	1.120261093	1.180852924	1.170818933	8.11E-07
1-palmitoyl-2-dihomo-linolenoyl-GPC (16:0/20:3n3 or 6) levels	0.882336646	0.778547812	0.835931883	9.61E-07
1-linoleoyl-2-arachidonoyl-GPC (18:2/20:4n6) levels	1.104413506	1.160340996	1.083429123	1.83E-06
1-palmitoyl-2-arachidonoyl-gpc (16:0/20:4n6) levels	1.076235959	1.097648631	1.108508557	4.38E-06
X-17357 levels	1.099169775	1.136046669	1.124122605	0.000416639
Arachidonate (20:4n6) to oleate to vaccenate (18:1) ratio	1.096652048	1.175994974	1.132512252	0.000439957
3-indoxyl sulfate levels	1.140616039	1.14259783	1.148864579	0.000547473
Picolinate levels	1.096957773	1.067432485	1.056525961	0.000644686
Deoxycholic acid 12-sulfate levels	0.953276325	0.951238659	0.953586315	0.000782185
Phosphate   to   linoleoyl  -  arachidonoyl  -  glycerol   (  18  :  2   to   20  :  4)   [2]   ratio	0.901899013	0.813629411	0.817662529	0.000852177
2-palmitoleoyl-GPC (16:1) levels	0.912372403	1.093230169	0.936085655	0.001429567
Tricosanoyl sphingomyelin (d18:1/23:0) levels	0.904878533	0.901888552	0.944814146	0.002249777
Methylsuccinate levels	1.095623823	0.996490765	1.094199446	0.002996389
Glycocholate levels	0.942347162	0.941012385	0.960656877	0.005600985
N-methylproline levels	0.911578324	0.864153229	0.902458308	0.007022384
N-acetylneuraminate levels	1.08524633	1.112902154	1.081433008	0.008849574
"1,3,7-trimethylurate levels"	1.06725328	1.102232972	1.032121046	0.009084255
N-acetylalliin levels	1.085606645	1.058812575	1.084058493	0.00933074
X-13507 levels	1.090016293	1.157546633	1.134754508	0.009557498
Alpha-ketoglutarate levels	0.909579995	0.907203489	0.93771332	0.0098749
X-25519 levels	1.091388581	0.975422594	1.069162236	0.010141864
3-hydroxy-2-ethylpropionate levels	1.06698578	1.01931402	1.036901937	0.010500073
Inosine 5'-monophosphate (IMP) to phosphate ratio	1.062165663	1.005080302	1.058962881	0.011133588
X-13553 levels	0.924914136	0.912671112	0.918915629	0.012164678
Gamma-glutamyl-alpha-lysine levels	0.949477318	0.938084047	0.92812183	0.013051482
Thyroxine to taurocholate ratio	0.931632962	0.88799936	0.925318817	0.013187349
(N(1) + N(8))-acetylspermidine levels	0.954950953	1.017574951	0.959971378	0.013887807
